Path;File;Type;Filter;Score;dX;dY;Angle;Date/Time;Size;CFA;Depth;Info;ISO/Gain;Exposure;Aperture;FWHM;#Stars;Sky Background
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6656.JPG;Light;;20309.49;184.37;71.17;0.36°;11/02/2021 23:19;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.16;3080;53.71 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6408.JPG;Light;;22356.89;7.79;-1.46;-0.03°;11/02/2021 21:48;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.95;3338;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6594.JPG;Light;;22305.92;144.98;20.07;0.29°;11/02/2021 22:57;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.35;3240;57.23 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6648.JPG;Light;;25254.30;181.27;65.32;0.35°;11/02/2021 23:16;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;3.96;3592;53.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6673.JPG;Light;;20415.48;202.07;89.76;0.37°;11/02/2021 23:25;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.16;3067;53.91 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6650.JPG;Light;;21296.87;173.04;65.17;0.34°;11/02/2021 23:17;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.25;3134;53.71 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6663.JPG;Light;;26404.25;184.24;77.11;0.36°;11/02/2021 23:22;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.95;3765;53.71 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6424.JPG;Light;;32836.37;9.08;5.62;0.01°;11/02/2021 21:53;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.78;4510;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6488.JPG;Light;;26526.98;70.08;-75.87;0.14°;11/02/2021 22:18;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.95;3765;58.40 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6477.JPG;Light;;29827.16;73.89;-80.83;0.14°;11/02/2021 22:14;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;3.72;4107;58.79 %
